"TimeRun1","Run1","Run2","Run3"
25.850,0.09,0.08,0.07
25.900,0.09,0.07,0.05
25.950,0.09,0.07,0.06
26.000,0.09,0.06,0.06
26.050,0.09,0.06,0.06
26.100,0.10,0.07,0.06
26.150,0.09,0.06,0.06
26.200,0.10,0.06,0.06
26.250,0.10,0.07,0.05
26.300,0.09,0.07,0.06
26.350,0.09,0.07,0.06
26.400,0.09,0.07,0.06
26.450,0.09,0.07,0.07
26.500,0.09,0.06,0.06
26.550,0.09,0.06,0.06
26.600,0.08,0.06,0.06
26.650,0.08,0.07,0.06
26.700,0.09,0.07,0.05
26.750,0.09,0.06,0.05
26.800,0.09,0.07,0.05
26.850,0.09,0.07,0.06
26.900,0.09,0.07,0.06
26.950,0.09,0.07,0.06
27.000,0.09,0.07,0.06
27.050,0.09,0.07,0.05
27.100,0.08,0.07,0.06
27.150,0.09,0.07,0.06
27.200,0.09,0.08,0.06
27.250,0.09,0.07,0.06
27.300,0.09,0.07,0.06
27.350,0.09,0.09,0.06
27.400,0.10,0.08,0.05
27.450,0.09,0.08,0.06
27.500,0.08,0.09,0.06
27.550,0.09,0.09,0.06
27.600,0.09,0.09,0.06
27.650,0.08,0.09,0.07
27.700,0.08,0.09,0.06
27.750,0.09,0.08,0.05
27.800,0.09,0.08,0.05
27.850,0.09,0.08,0.06
27.900,0.08,0.07,0.06
27.950,0.08,0.09,0.06
28.000,0.08,0.08,0.06
28.050,0.09,0.08,0.06
28.100,0.09,0.08,0.06
28.150,0.08,0.08,0.06
28.200,0.09,0.07,0.06
28.250,0.08,0.08,0.07
28.300,0.09,0.09,0.07
28.350,0.09,0.09,0.07
28.400,0.09,0.09,0.06
28.450,0.09,0.09,0.07
28.500,0.08,0.08,0.06
28.550,0.08,0.08,0.07
28.600,0.08,0.07,0.06
28.650,0.08,0.08,0.06
28.700,0.09,0.09,0.06
28.750,0.09,0.09,0.06
28.800,0.09,0.08,0.07
28.850,0.08,0.08,0.07
28.900,0.09,0.09,0.06
28.950,0.09,0.08,0.07
29.000,0.09,0.08,0.07
29.050,0.09,0.08,0.07
,,0.09,0.07
,,0.09,0.07
,,0.08,0.07
,,0.09,0.08
,,0.09,0.07
,,0.08,0.06
,,0.08,0.07
,,0.09,0.07
,,,0.06
,,,0.06
,,,0.06
,,,0.07
,,,0.06
,,,0.07
,,,0.06
,,,0.06
,,,0.06
,,,0.07
,,,0.06
,,,0.06
,,,0.06
,,,0.07
,,,0.07
,,,0.07
,,,0.07
,,,0.06
,,,0.06
,,,0.06
,,,0.07
,,,0.07
,,,0.06
,,,0.06
,,,0.06
,,,0.07
,,,0.07
,,,0.07
,,,0.06
,,,0.07
,,,0.08
,,,0.07
,,,0.08
,,,0.08
,,,0.08
,,,0.08
,,,0.08
,,,0.08
,,,0.08
,,,0.08
,,,0.08
,,,0.07
,,,0.06
,,,0.08
,,,0.07
,,,0.06
,,,0.07
,,,0.07
,,,0.07
,,,0.08
,,,0.07
,,,0.07
,,,0.07
,,,0.07
,,,0.07
,,,0.07
,,,0.08
,,,0.07
,,,0.08
,,,0.07
,,,0.07
,,,0.07
,,,0.07
,,,0.08
,,,0.08
,,,0.07
,,,0.08
,,,0.08
,,,0.08
,,,0.09
,,,0.07
,,,0.08
,,,0.08
,,,0.09
,,,0.08
,,,0.08
,,,0.08
,,,0.08
,,,0.08
,,,0.07
,,,0.08
,,,0.08
,,,0.07
,,,0.08
,,,0.09
,,,0.08
,,,0.07
,,,0.08
,,,0.09
,,,0.08
,,,0.07
,,,0.08
,,,0.08
,,,0.08
,,,0.07
,,,0.07
,,,0.06
,,,0.07
,,,0.07
,,,0.08
,,,0.09
,,,0.09
,,,0.08
,,,0.09
,,,0.09
,,,0.08
,,,0.08
,,,0.08
,,,0.08
,,,0.08
,,,0.08
,,,0.07
,,,0.08
,,,0.08
,,,0.08
,,,0.08
,,,17.24
,,,17.09
,,,10.86
,,,8.65
,,,7.38
,,,6.84
,,,6.11
,,,5.63
,,,5.23
,,,4.89
,,,4.68
,,,4.01
,,,1.50
,,,0.08
,,,0.08
,,,0.08
,,,0.08
,,,0.08
,,,0.07
,,,0.08
,,,0.08
,,,0.07
,,,0.08
,,,0.08
,,,0.08
,,,0.09
,,,0.08
,,,0.08
,,,0.08
,,,0.09
,,,0.08
,,,0.08
,,,0.07
,,,0.07
,,,0.07
,,,0.08
,,,0.08
,,,0.08
,,,0.08
,,,0.09
,,,0.08
,,,0.09
,,,0.09
,,,0.08
,,,0.08
,,,0.08
,,,0.07
,,,0.08
,,,0.07
,,,0.07
,,,0.07
,,,0.07
,,,0.06
,,,0.07
,,,0.08
,,,0.07
,,,0.08
,,,0.08
,,,0.06
,,,0.08
,,,0.07
,,,0.07
,,,0.07
,,,0.07
,,,0.07
,,,0.07
,,,0.07
,,,0.07
,,,0.07
,,,0.08
,,,0.08
,,,0.08
,,,0.07
,,,0.08
,,,0.07
,,,0.09
,,,0.08
,,,0.08
,,,0.08
,,,0.08
,,,0.07
,,,0.07
,,,0.07
,,,0.07
,,,0.09
,,,0.08
,,,0.08
,,,0.08
,,,0.09
,,,0.08
,,,0.08
,,,0.08
,,,0.08
,,,0.07
,,,0.07
,,,0.08
,,,0.07
,,,0.08
,,,0.07
,,,0.07
,,,0.07
,,,0.07
,,,0.07
,,,0.08
